                 Mean      Median    St.Dev.   95%CI_low   95%CI_upp
psi[51, 3]  0.4711800  0.46224272 0.28501512  0.02127451  0.97203577
psi[52, 3]  0.4692060  0.46026882 0.28854137  0.01829143  0.97131706
psi[53, 3]  0.4719506  0.45469565 0.28604048  0.02184918  0.97064403
psi[54, 3]  0.4433841  0.41872912 0.28411591  0.01832421  0.96572280
psi[55, 3]  0.4670010  0.44593150 0.28816094  0.02003462  0.97029514
psi[56, 3]  0.4513459  0.43433863 0.28120869  0.01999846  0.96348642
psi[57, 3]  0.4550104  0.43994114 0.28771923  0.01602224  0.96395814
psi[58, 3]  0.4750076  0.45855355 0.28530150  0.02164417  0.96915137
psi[59, 3]  0.4768538  0.46488219 0.28808710  0.02048871  0.96926745
psi[60, 3]  0.4749087  0.46048361 0.28779362  0.02185647  0.97083080
psi[61, 3]  0.4694320  0.45861785 0.28515214  0.02100152  0.97076205
psi[62, 3]  0.4600426  0.43976789 0.28617282  0.02174402  0.96717971
psi[63, 3]  0.4693809  0.45101094 0.28693888  0.02148606  0.97288099
psi[64, 3]  0.4894535  0.48858167 0.28655740  0.02789714  0.97460580
psi[65, 3]  0.4707382  0.45928928 0.28633142  0.01977076  0.96280560
psi[66, 3]  0.4584373  0.43768144 0.28634270  0.01876336  0.96729306
psi[67, 3]  0.4660229  0.44477415 0.28597609  0.02139258  0.96894269
psi[68, 3]  0.4450519  0.42621752 0.28445515  0.01817701  0.96465555
psi[69, 3]  0.4742727  0.46201578 0.28521214  0.02107527  0.97102377
psi[70, 3]  0.4881608  0.48110744 0.28970682  0.02566541  0.96759049
psi[71, 3]  0.4677916  0.44789173 0.29132371  0.01864713  0.97877965
psi[72, 3]  0.4559142  0.43032616 0.28831078  0.01634855  0.96896785
psi[73, 3]  0.4571139  0.43853321 0.28847097  0.01981602  0.96742452
psi[74, 3]  0.4552562  0.42695673 0.28273534  0.01799132  0.96386612
psi[75, 3]  0.4342869  0.41094510 0.27785049  0.02035119  0.96085246
psi[1, 4]   0.6614731  0.69818960 0.23548150  0.16562101  0.98471428
psi[2, 4]   0.6727147  0.71734456 0.23672544  0.16224785  0.98776754
psi[3, 4]   0.6693654  0.71311041 0.23680039  0.15541195  0.98624697
psi[4, 4]   0.6665583  0.70503816 0.23311604  0.15616183  0.98955177
psi[5, 4]   0.4585543  0.43784823 0.28382509  0.01981415  0.96936724
psi[6, 4]   0.4580387  0.43466402 0.28640941  0.01607813  0.97122600
psi[7, 4]   0.6699267  0.70970068 0.23436729  0.16109251  0.99035616
psi[8, 4]   0.4488127  0.42301932 0.28603277  0.02045392  0.96304429
psi[9, 4]   0.4537136  0.42768646 0.28214836  0.01798990  0.96806227
psi[10, 4]  0.4377519  0.40775814 0.28223327  0.01816748  0.95602793
psi[11, 4]  0.6619888  0.69644624 0.23871720  0.14831741  0.98917865
psi[12, 4]  0.4489115  0.41957968 0.28617192  0.02054183  0.96770298
psi[13, 4]  0.6607723  0.69879677 0.23661252  0.15263085  0.98700931
psi[14, 4]  0.4761068  0.46571799 0.28091815  0.02656128  0.96302655
psi[15, 4]  0.4593513  0.43997980 0.28295073  0.01846513  0.96422773
psi[16, 4]  0.4747556  0.46220614 0.28478081  0.02156418  0.96526514
psi[17, 4]  0.4675832  0.45084995 0.28833142  0.02052408  0.96168975
psi[18, 4]  0.4711341  0.46065683 0.28319705  0.02166220  0.96734342
psi[19, 4]  0.4391744  0.40941938 0.28162682  0.01921126  0.96075541
psi[20, 4]  0.4627604  0.43929099 0.28219291  0.02698252  0.96599051
psi[21, 4]  0.4539146  0.43649711 0.27982898  0.01975469  0.95932759
psi[22, 4]  0.4698279  0.45910882 0.28768948  0.01930214  0.97068122
psi[23, 4]  0.4444965  0.42127496 0.28162004  0.01894191  0.96133705
psi[24, 4]  0.4479254  0.42296535 0.28434107  0.02015886  0.96610765
psi[25, 4]  0.4445446  0.42290702 0.28222172  0.01978268  0.95933374
psi[26, 4]  0.4940577  0.48462612 0.28908332  0.02424311  0.97799456
psi[27, 4]  0.4486936  0.42310827 0.27961670  0.01895332  0.96069451
psi[28, 4]  0.4521654  0.43732027 0.28593513  0.01713607  0.96524669
psi[29, 4]  0.4508747  0.43137398 0.28423339  0.01916844  0.96541260
psi[30, 4]  0.4576972  0.43473890 0.28407012  0.01926362  0.96525208
psi[31, 4]  0.6714436  0.71169513 0.23635131  0.16425771  0.99057976
psi[32, 4]  0.4829772  0.47382241 0.28546479  0.02439540  0.97078412
psi[33, 4]  0.4735317  0.46083930 0.28659309  0.02161909  0.96836828
psi[34, 4]  0.4697349  0.45723176 0.28179065  0.02186499  0.96154425
psi[35, 4]  0.4760117  0.46494889 0.29450492  0.01968760  0.97866220
psi[36, 4]  0.4860087  0.47788519 0.28769831  0.02339304  0.97189840
psi[37, 4]  0.4737898  0.46206178 0.28526066  0.02855482  0.97168613
psi[38, 4]  0.4776616  0.46973142 0.28514168  0.02309220  0.97179215
